config,factor_key,support,predicted,precision,recall,f1
qwen_default,consumer_price_index,64,108,0.5,0.84375,0.627906976744186
qwen_default,life_expectancy,51,62,0.5,0.6078431372549019,0.5486725663716814
qwen_default,real_income_index,47,30,0.6333333333333333,0.40425531914893614,0.4935064935064935
qwen_default,per_capita_income,40,26,0.5769230769230769,0.375,0.45454545454545453
qwen_default,mortality_rate,26,33,0.45454545454545453,0.5769230769230769,0.5084745762711864
qwen_default,hospitals,20,27,0.5555555555555556,0.75,0.6382978723404256
qwen_default,air_pollution,17,10,0.7,0.4117647058823529,0.5185185185185185
qwen_default,housing_area_per_capita,16,16,0.625,0.625,0.625
qwen_default,wastewater_discharge,16,4,1.0,0.25,0.4
qwen_default,international_inflow,10,53,0.1509433962264151,0.8,0.25396825396825395
qwen_default,internal_departures,6,16,0.0625,0.16666666666666666,0.09090909090909091
qwen_default,unemployment_rate,6,11,0.18181818181818182,0.3333333333333333,0.23529411764705882
qwen_default,population_size,5,2,0.5,0.2,0.2857142857142857
qwen_default,qualified_doctors,5,9,0.4444444444444444,0.8,0.5714285714285714
qwen_default,living_wage,4,6,0.16666666666666666,0.25,0.2
qwen_default,internal_arrivals,3,5,0.0,0.0,0.0
qwen_default,preschool_coverage,3,1,1.0,0.3333333333333333,0.5
qwen_default,birth_rate_per_1000,3,0,0.0,0.0,0.0
qwen_default,international_outflow,2,52,0.019230769230769232,0.5,0.037037037037037035
qwen_default,male_population,2,1,1.0,0.5,0.6666666666666666
qwen_default,children_benefits,2,6,0.3333333333333333,1.0,0.5
qwen_default,divorce_rate,1,1,1.0,1.0,1.0
qwen_default,marriage_rate,1,0,0.0,0.0,0.0
qwen_default,infant_mortality,1,0,0.0,0.0,0.0
qwen_default,outpatient_clinics,1,1,0.0,0.0,0.0
qwen_default,primary_housing_price_index,1,0,0.0,0.0,0.0
qwen_default,female_population,0,0,0.0,0.0,0.0
qwen_default,child_living_wage,0,0,0.0,0.0,0.0
qwen_default,abortions,0,0,0.0,0.0,0.0
qwen_default,maternity_capital,0,0,0.0,0.0,0.0
qwen_default,childcare_allowance,0,0,0.0,0.0,0.0
qwen_default,large_families_housing,0,0,0.0,0.0,0.0
qwen_default,secondary_housing_price_index,0,0,0.0,0.0,0.0
