variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,default,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.05,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.10,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.20,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.30,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.40,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.45,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.50,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.60,237,681,304,1.2827004219409284,0.7993421052631579,0.3568281938325991,0.4934010152284264,0.2571157421051741,0.46974598303712234,1.0,0.869198312236287,0.9300225733634312,0,31,0,72
v4_prompt,0.70,237,681,298,1.2573839662447257,0.8053691275167785,0.3524229074889868,0.4902962206332993,0.2567409832338835,0.4659485146826919,1.0,0.8649789029535865,0.9276018099547512,0,32,0,72
