published_date,average_sentiment_manual,risk_index_manual,news_count_manual,factor_count_manual,delta_from_previous_manual,average_sentiment_pred,risk_index_pred,news_count_pred,factor_count_pred,delta_from_previous_pred
2025-01-02,-0.027777777777777776,0.029055690072639227,1,36,0.0,0.04229978925238492,0.14004789999671766,1,36,0.0
2025-01-03,0.0,0.025423728813559324,2,36,0.027777777777777776,0.07229890514372847,0.1688876604467896,2,36,0.029999115891343547
2025-01-06,0.0,0.0,1,36,0.0,0.1715679582135184,0.11193615530978403,1,36,0.09926905306978992
2025-01-08,-0.027777777777777776,0.025423728813559324,1,36,-0.027777777777777776,0.031667593953556124,0.11461089323991404,1,36,-0.13990036425996227
2025-01-09,-0.05555555555555555,0.06174334140435835,2,36,-0.027777777777777776,0.04929162306192196,0.11728881711035181,2,36,0.017624029108365837
2025-01-10,-0.05555555555555555,0.06174334140435835,2,36,0.0,0.018931182127978546,0.1645570405748165,2,36,-0.030360440933943415
2025-01-11,-0.027777777777777776,0.029055690072639227,3,36,0.027777777777777776,0.09804961067615908,0.14078356658984348,3,36,0.07911842854818053
2025-01-13,-0.027777777777777776,0.02784503631961259,2,36,0.0,0.07139626174440901,0.17136371439537115,2,36,-0.026653348931750073
2025-01-14,-0.05555555555555555,0.054479418886198554,3,36,-0.027777777777777776,0.04021386331948646,0.14651365730551036,3,36,-0.03118239842492255
2025-01-15,-0.027777777777777776,0.05326876513317192,4,36,0.027777777777777776,0.006411218325527151,0.22306149699122177,4,36,-0.03380264499395931
2025-01-16,-0.013888888888888888,0.025423728813559324,3,36,0.013888888888888888,0.19013316499618935,0.14347285542650054,3,36,0.1837219466706622
2025-01-17,0.027777777777777776,0.0,4,36,0.041666666666666664,0.06893377391546424,0.16581693659208352,4,36,-0.12119939108072511
2025-01-20,-0.05555555555555555,0.054479418886198554,3,36,-0.08333333333333333,-0.06848785709261122,0.18678506641754,3,36,-0.13742163100807547
2025-01-21,0.0,0.029055690072639227,6,36,0.05555555555555555,0.22962782902922385,0.10778586431365826,6,36,0.2981156861218351
2025-01-22,0.0,0.029055690072639227,2,36,0.0,0.13581103274595224,0.08902964786431367,2,36,-0.09381679628327161
2025-01-23,0.027777777777777776,0.0,2,36,0.027777777777777776,0.04844604610098798,0.1419104995923099,2,36,-0.08736498664496425
