variant,split,n_news,main_primary_class_supported_macro_f1,primary_class_macro_f1_all37,primary_class_head_macro_f1_support_ge_25,primary_class_weighted_f1,primary_class_accuracy,primary_class_balanced_accuracy,applicability_f1,applicability_precision,applicability_recall_relevant,applicability_specificity_not_relevant,applicability_mcc,factor_micro_f1,factor_micro_precision,factor_micro_recall,true_factor_recall,signal_accuracy_when_true_factor_returned,predicted_relevant_news,predicted_relevant_pairs,tp_relevant,fp_relevant,fn_relevant,tn_not_relevant
balanced_recall_v2,search,300,0.2646715157852063,0.15021896841863064,0.5201322167048987,0.4341450822217167,0.48,0.24664631200019327,0.7453083109919572,0.952054794520548,0.6123348017621145,0.9041095890410958,0.4433647233468882,0.464818763326226,0.6728395061728395,0.3550488599348534,0.3656387665198238,0.7951807228915663,146,162,139,7,88,66
primary_first_v2,search,300,0.20971467782964967,0.11902724957899036,0.42086421399413204,0.3578295088890888,0.41333333333333333,0.19994533835858036,0.6703910614525139,0.916030534351145,0.5286343612334802,0.8493150684931506,0.32698592041340485,0.3656884875846501,0.5955882352941176,0.26384364820846906,0.27312775330396477,0.8548387096774194,131,136,120,11,107,62
few_shot_major_v3,search,300,0.19977627184496566,0.11338653266876429,0.3650190374973271,0.335380507267901,0.37666666666666665,0.20198382498610806,0.6481994459833795,0.8731343283582089,0.5154185022026432,0.7671232876712328,0.2438656365067278,0.35294117647058826,0.5777777777777777,0.254071661237785,0.2511013215859031,0.8947368421052632,134,135,117,17,110,56
production_v1,search,300,0.17869616981015088,0.10142215043278835,0.276364367212768,0.2674234684168001,0.3333333333333333,0.17378475997197457,0.5510835913312694,0.9270833333333334,0.3920704845814978,0.9041095890410958,0.27244540975009574,0.2315270935960591,0.47474747474747475,0.15309446254071662,0.14977973568281938,0.9117647058823529,96,99,89,7,138,66
hard_negative_v2,search,300,0.1747885375067744,0.0992043050714125,0.22363455181833902,0.22284067218621498,0.31666666666666665,0.15652557319223986,0.3247232472324723,1.0,0.19383259911894274,1.0,0.2351012060634973,0.19154929577464788,0.7083333333333334,0.11074918566775244,0.09691629955947137,0.9545454545454546,44,48,44,0,183,73
