variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v5,0.40,30,64,33,1.1,0.8181818181818182,0.421875,0.5567010309278351,0.5111672278338945,0.5133333333333333,1.0,0.7777777777777778,0.875,0,6
social_signal_v5,0.45,30,64,33,1.1,0.8181818181818182,0.421875,0.5567010309278351,0.5111672278338945,0.5133333333333333,1.0,0.7777777777777778,0.875,0,6
social_signal_v5,0.50,30,64,33,1.1,0.8181818181818182,0.421875,0.5567010309278351,0.5111672278338945,0.5133333333333333,1.0,0.7777777777777778,0.875,0,6
social_signal_v5,0.60,30,64,33,1.1,0.8181818181818182,0.421875,0.5567010309278351,0.5111672278338945,0.5133333333333333,1.0,0.7777777777777778,0.875,0,6
social_signal_v5,default,30,64,84,2.8,0.4642857142857143,0.609375,0.527027027027027,0.5879743713077047,0.49277777777777776,0.9310344827586207,1.0,0.9642857142857143,2,0
social_signal_v5,0.05,30,64,84,2.8,0.4642857142857143,0.609375,0.527027027027027,0.5879743713077047,0.49277777777777776,0.9310344827586207,1.0,0.9642857142857143,2,0
social_signal_v5,0.10,30,64,84,2.8,0.4642857142857143,0.609375,0.527027027027027,0.5879743713077047,0.49277777777777776,0.9310344827586207,1.0,0.9642857142857143,2,0
social_signal_v5,0.20,30,64,84,2.8,0.4642857142857143,0.609375,0.527027027027027,0.5879743713077047,0.49277777777777776,0.9310344827586207,1.0,0.9642857142857143,2,0
social_signal_v5,0.30,30,64,84,2.8,0.4642857142857143,0.609375,0.527027027027027,0.5879743713077047,0.49277777777777776,0.9310344827586207,1.0,0.9642857142857143,2,0
social_signal_v5,0.70,30,64,9,0.3,0.8888888888888888,0.125,0.2191780821917808,0.1746031746031746,0.2288888888888889,1.0,0.3333333333333333,0.5,0,18
