variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v5,0.40,237,656,448,1.890295358649789,0.7254464285714286,0.4954268292682927,0.5887681159420289,0.34953049246849544,0.544333936106088,0.9855769230769231,0.9030837004405287,0.9425287356321839,3,22
social_signal_v5,0.45,237,656,443,1.869198312236287,0.7268623024830699,0.49085365853658536,0.5859872611464968,0.3496565457244751,0.5408679927667269,0.9855769230769231,0.9030837004405287,0.9425287356321839,3,22
social_signal_v5,0.50,237,656,443,1.869198312236287,0.7268623024830699,0.49085365853658536,0.5859872611464968,0.3496565457244751,0.5408679927667269,0.9855769230769231,0.9030837004405287,0.9425287356321839,3,22
social_signal_v5,default,237,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.05,237,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.10,237,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.20,237,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.30,237,656,799,3.371308016877637,0.5331664580725908,0.649390243902439,0.5855670103092784,0.3934079124007564,0.5449983677831779,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.60,237,656,441,1.860759493670886,0.7278911564625851,0.4893292682926829,0.585232452142206,0.34942510460769677,0.5405666063893911,0.9855769230769231,0.9030837004405287,0.9425287356321839,3,22
social_signal_v5,0.70,237,656,223,0.9409282700421941,0.820627802690583,0.27896341463414637,0.41638225255972694,0.23226029630678371,0.3983490723997053,0.9883720930232558,0.748898678414097,0.8521303258145363,2,57
