variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v5,default,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.14761904761904762,0.2555555555555556,0.8888888888888888,1.0,0.9411764705882353,2,0
social_signal_v5,0.05,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.14761904761904762,0.2555555555555556,0.8888888888888888,1.0,0.9411764705882353,2,0
social_signal_v5,0.10,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.14761904761904762,0.2555555555555556,0.8888888888888888,1.0,0.9411764705882353,2,0
social_signal_v5,0.20,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.14761904761904762,0.2555555555555556,0.8888888888888888,1.0,0.9411764705882353,2,0
social_signal_v5,0.30,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.14761904761904762,0.2555555555555556,0.8888888888888888,1.0,0.9411764705882353,2,0
social_signal_v5,0.40,18,38,12,0.6666666666666666,0.5,0.15789473684210525,0.24,0.13636363636363635,0.23333333333333334,0.9166666666666666,0.6875,0.7857142857142857,1,5
social_signal_v5,0.45,18,38,12,0.6666666666666666,0.5,0.15789473684210525,0.24,0.13636363636363635,0.23333333333333334,0.9166666666666666,0.6875,0.7857142857142857,1,5
social_signal_v5,0.50,18,38,12,0.6666666666666666,0.5,0.15789473684210525,0.24,0.13636363636363635,0.23333333333333334,0.9166666666666666,0.6875,0.7857142857142857,1,5
social_signal_v5,0.60,18,38,12,0.6666666666666666,0.5,0.15789473684210525,0.24,0.13636363636363635,0.23333333333333334,0.9166666666666666,0.6875,0.7857142857142857,1,5
social_signal_v5,0.70,18,38,7,0.3888888888888889,0.5714285714285714,0.10526315789473684,0.17777777777777778,0.09333333333333332,0.2111111111111111,1.0,0.4375,0.6086956521739131,0,9
