variant,split,n_news,main_primary_class_supported_macro_f1,primary_class_macro_f1_all37,primary_class_head_macro_f1_support_ge_25,primary_class_weighted_f1,primary_class_accuracy,primary_class_balanced_accuracy,applicability_f1,applicability_precision,applicability_recall_relevant,applicability_specificity_not_relevant,applicability_mcc,factor_micro_f1,factor_micro_precision,factor_micro_recall,true_factor_recall,signal_accuracy_when_true_factor_returned,predicted_relevant_news,predicted_relevant_pairs,tp_relevant,fp_relevant,fn_relevant,tn_not_relevant
balanced_recall_v2,full,1000,0.22042870422427444,0.12510818347864225,0.3639062927626232,0.448831851578405,0.473,0.23031711238244362,0.695364238410596,0.8695652173913043,0.5793103448275863,0.7709090909090909,0.3129368864441443,0.43269908386187456,0.6091269841269841,0.3355191256830601,0.36551724137931035,0.7396226415094339,483,504,420,63,305,212
production_v1,full,1000,0.16806728676677865,0.09538954113790139,0.24673914870462976,0.30872161064562553,0.364,0.1734593169991367,0.5285575992255567,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.24109745889738388,0.24311183144246354,0.4702194357366771,0.16393442622950818,0.17103448275862068,0.8709677419354839,308,319,273,35,452,240
