name,threshold,pairs,mean_labels,precision,recall,f1,macro_supported,sample_f1,any_f1,any_precision,any_recall,false_relevant,missed_all
union:baseline_balanced@0.35+thinking_recall@0.35+grouped_event@0.35,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.35+thinking_recall@0.35+grouped_event@0.6,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.35+thinking_recall@0.6+grouped_event@0.35,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.35+thinking_recall@0.6+grouped_event@0.6,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.6+thinking_recall@0.35+grouped_event@0.35,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.6+thinking_recall@0.35+grouped_event@0.6,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.6+thinking_recall@0.6+grouped_event@0.35,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.6+thinking_recall@0.6+grouped_event@0.6,,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
max:baseline_balanced+thinking_recall+grouped_event@0.35,0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
max:baseline_balanced+thinking_recall+grouped_event@0.4,0.4,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
max:baseline_balanced+thinking_recall+grouped_event@0.45,0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
max:baseline_balanced+thinking_recall+grouped_event@0.5,0.5,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
max:baseline_balanced+thinking_recall+grouped_event@0.55,0.55,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
max:baseline_balanced+thinking_recall+grouped_event@0.6,0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.376547619047619,0.829736211031175,0.9105263157894737,0.762114537444934,17,54
union:baseline_balanced@0.35+thinking_recall@0.35,,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
union:baseline_balanced@0.35+thinking_recall@0.6,,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
union:baseline_balanced@0.6+thinking_recall@0.35,,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
union:baseline_balanced@0.6+thinking_recall@0.6,,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
max:baseline_balanced+thinking_recall@0.35,0.35,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
max:baseline_balanced+thinking_recall@0.4,0.4,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
max:baseline_balanced+thinking_recall@0.45,0.45,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
max:baseline_balanced+thinking_recall@0.5,0.5,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
max:baseline_balanced+thinking_recall@0.55,0.55,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
max:baseline_balanced+thinking_recall@0.6,0.6,208,0.6933333333333334,0.6634615384615384,0.4495114006514658,0.5359223300970873,0.27589097903958676,0.36288888888888887,0.8089330024813896,0.9261363636363636,0.7180616740088106,13,64
union:baseline_balanced@0.1+thinking_recall@0.35,,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.4124444444444444,0.8831168831168831,0.8680851063829788,0.8986784140969163,31,23
union:baseline_balanced@0.1+thinking_recall@0.6,,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.4124444444444444,0.8831168831168831,0.8680851063829788,0.8986784140969163,31,23
union:baseline_balanced@0.3+thinking_recall@0.35,,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.4124444444444444,0.8831168831168831,0.8680851063829788,0.8986784140969163,31,23
union:baseline_balanced@0.3+thinking_recall@0.6,,292,0.9733333333333334,0.5445205479452054,0.5179153094462541,0.5308848080133556,0.26412336867194985,0.4124444444444444,0.8831168831168831,0.8680851063829788,0.8986784140969163,31,23
union:baseline_balanced@0.1+thinking_recall@0.35+grouped_event@0.35,,372,1.24,0.478494623655914,0.5798045602605864,0.524300441826215,0.3507804395866578,0.41154761904761905,0.8846153846153846,0.8589211618257261,0.9118942731277533,34,20
union:baseline_balanced@0.1+thinking_recall@0.35+grouped_event@0.6,,372,1.24,0.478494623655914,0.5798045602605864,0.524300441826215,0.3507804395866578,0.41154761904761905,0.8846153846153846,0.8589211618257261,0.9118942731277533,34,20
union:baseline_balanced@0.1+thinking_recall@0.6+grouped_event@0.35,,372,1.24,0.478494623655914,0.5798045602605864,0.524300441826215,0.3507804395866578,0.41154761904761905,0.8846153846153846,0.8589211618257261,0.9118942731277533,34,20
union:baseline_balanced@0.1+thinking_recall@0.6+grouped_event@0.6,,372,1.24,0.478494623655914,0.5798045602605864,0.524300441826215,0.3507804395866578,0.41154761904761905,0.8846153846153846,0.8589211618257261,0.9118942731277533,34,20
union:baseline_balanced@0.3+thinking_recall@0.35+grouped_event@0.35,,372,1.24,0.478494623655914,0.5798045602605864,0.524300441826215,0.3507804395866578,0.41154761904761905,0.8846153846153846,0.8589211618257261,0.9118942731277533,34,20
