variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,default,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.05,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.10,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.20,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.30,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.40,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.45,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.50,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.60,237,681,293,1.2362869198312236,0.6279863481228669,0.2701908957415565,0.37782340862423,0.25425178858544456,0.3695407967559866,1.0,0.9451476793248945,0.9718004338394793,0,13,0,180
v4_prompt,0.70,237,681,286,1.2067510548523206,0.6363636363636364,0.26725403817914833,0.3764219234746639,0.25485065016230096,0.36758178530330426,1.0,0.9367088607594937,0.9673202614379085,0,15,0,180
