variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v5,default,237,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_signal_v5,0.05,237,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_signal_v5,0.10,237,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_signal_v5,0.20,237,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_signal_v5,0.30,237,656,260,1.0970464135021096,0.6615384615384615,0.2621951219512195,0.37554585152838427,0.16672960790826363,0.37568146808653136,0.9570815450643777,0.9823788546255506,0.9695652173913043,10,4
social_signal_v5,0.40,237,656,208,0.8776371308016878,0.7355769230769231,0.23323170731707318,0.3541666666666667,0.16111087595790674,0.3725805371374991,0.9894736842105263,0.8281938325991189,0.9016786570743405,2,39
social_signal_v5,0.45,237,656,208,0.8776371308016878,0.7355769230769231,0.23323170731707318,0.3541666666666667,0.16111087595790674,0.3725805371374991,0.9894736842105263,0.8281938325991189,0.9016786570743405,2,39
social_signal_v5,0.50,237,656,208,0.8776371308016878,0.7355769230769231,0.23323170731707318,0.3541666666666667,0.16111087595790674,0.3725805371374991,0.9894736842105263,0.8281938325991189,0.9016786570743405,2,39
social_signal_v5,0.60,237,656,208,0.8776371308016878,0.7355769230769231,0.23323170731707318,0.3541666666666667,0.16111087595790674,0.3725805371374991,0.9894736842105263,0.8281938325991189,0.9016786570743405,2,39
social_signal_v5,0.70,237,656,135,0.569620253164557,0.8,0.16463414634146342,0.27307206068268014,0.13116654041134818,0.2849675172459982,1.0,0.5638766519823789,0.7211267605633803,0,99
