target,mae,rmse,r2,pearson,spearman
daily_average_sentiment,0.09719264062031048,0.11578947891415105,-12.039709883049873,0.2165570761960032,0.2024947119539438
daily_risk_index,0.11709792165516723,0.12841998564909846,-32.21713382310843,0.15675015660787422,0.14030582206090206
factor_date_average_sentiment,0.3844838149500882,0.510507946940358,-5.309801785348765,-0.0074432471915264475,-0.012070455422548126
factor_date_relevant_news_count,1.5535153797865662,2.068923802351654,-53.78254640717112,0.12642015106381013,0.11690185898048604
