variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,default,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.05,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.10,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.20,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.30,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.40,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.45,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.50,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.60,237,681,371,1.5654008438818565,0.7978436657681941,0.434654919236417,0.5627376425855514,0.2748621864194308,0.5606657290201594,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
v4_prompt,0.70,237,681,367,1.5485232067510548,0.8010899182561307,0.43171806167400884,0.5610687022900763,0.27507150429459176,0.5588775031813007,1.0,0.9324894514767933,0.9650655021834061,0,16,0,72
