config,gold_pairs,pred_pairs,mean_pred_labels,precision,recall,micro_f1,any_f1,false_relevant,missed_all
old_union+social_v3_think,656,542,2.2869198312236287,0.577490774907749,0.4771341463414634,0.5225375626043406,0.978448275862069,10,0
old_union+social_v3_think+v4,656,563,2.3755274261603376,0.5630550621669627,0.48323170731707316,0.5200984413453651,0.978448275862069,10,0
old_union+social_v4,656,536,2.261603375527426,0.5634328358208955,0.4603658536585366,0.5067114093959731,0.978448275862069,10,0
old_union,656,468,1.9746835443037976,0.5705128205128205,0.4070121951219512,0.4750889679715303,0.9739130434782609,9,3
social_v3_think@0.05,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.9762419006479481,10,1
social_v3@0.05,656,265,1.1181434599156117,0.6981132075471698,0.2820121951219512,0.4017372421281216,0.9605263157894737,10,8
social_v4@0.05,656,252,1.0632911392405062,0.6904761904761905,0.2652439024390244,0.3832599118942731,0.9419642857142857,10,16
social_v4@0.40,656,192,0.810126582278481,0.7864583333333334,0.2301829268292683,0.3561320754716981,0.8463476070528967,2,59
