threshold,factor_micro_precision,factor_micro_recall,factor_micro_f1,factor_macro_f1,applicability_precision,applicability_recall,applicability_specificity,applicability_f1,predicted_relevant_pairs
0.05,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.09564881338733712,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.5285575992255567,319
0.1,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.09564881338733712,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.5285575992255567,319
0.15,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.09564881338733712,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.5285575992255567,319
0.2,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.09564881338733712,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.5285575992255567,319
0.25,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.09564881338733712,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.5285575992255567,319
0.3,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.09564881338733712,0.8863636363636364,0.37655172413793103,0.8727272727272727,0.5285575992255567,319
0.35,0.5404255319148936,0.13879781420765028,0.22086956521739132,0.09350661022844328,0.9162995594713657,0.2868965517241379,0.9309090909090909,0.4369747899159664,235
0.4,0.5404255319148936,0.13879781420765028,0.22086956521739132,0.09350661022844328,0.9162995594713657,0.2868965517241379,0.9309090909090909,0.4369747899159664,235
0.45,0.5404255319148936,0.13879781420765028,0.22086956521739132,0.09350661022844328,0.9162995594713657,0.2868965517241379,0.9309090909090909,0.4369747899159664,235
0.5,0.5404255319148936,0.13879781420765028,0.22086956521739132,0.09350661022844328,0.9162995594713657,0.2868965517241379,0.9309090909090909,0.4369747899159664,235
0.55,0.5404255319148936,0.13879781420765028,0.22086956521739132,0.09350661022844328,0.9162995594713657,0.2868965517241379,0.9309090909090909,0.4369747899159664,235
0.6,0.5404255319148936,0.13879781420765028,0.22086956521739132,0.09350661022844328,0.9162995594713657,0.2868965517241379,0.9309090909090909,0.4369747899159664,235
0.65,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
0.7,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
0.75,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
0.8,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
0.85,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
0.9,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
0.95,0.7777777777777778,0.007650273224043716,0.015151515151515152,0.005719206199311322,1.0,0.012413793103448275,1.0,0.02452316076294278,9
