model,n_news,primary_class_supported_macro_f1,primary_class_macro_f1_all37,primary_class_head_macro_f1_support_ge_25,primary_class_weighted_f1,primary_class_accuracy,applicability_precision,applicability_recall_relevant,applicability_f1,applicability_specificity_not_relevant,tp_relevant,fp_relevant,fn_relevant,tn_not_relevant
char_word_tfidf_linearsvc,1000,0.31746274193286805,0.18018155623216833,0.6094332665302274,0.615402823196942,0.627,0.8569444444444444,0.8510344827586207,0.8539792387543252,0.6254545454545455,617,103,108,172
word_tfidf_linearsvc,1000,0.31249739417344014,0.17736338588222278,0.600541057785165,0.597942680878227,0.609,0.844566712517194,0.8468965517241379,0.8457300275482094,0.5890909090909091,614,113,111,162
word_tfidf_logreg,1000,0.28717972846797224,0.16299389994128158,0.5695012377702978,0.5797266787471391,0.596,0.8340136054421768,0.8455172413793104,0.8397260273972603,0.5563636363636364,613,122,112,153
