variant,threshold,eval_ids,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt_qwen36_35b_iq3_compact_first3,0.40,"1,9,16",3,11,5,1.6666666666666667,1.0,0.45454545454545453,0.625,0.475,0.6222222222222222,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.45,"1,9,16",3,11,5,1.6666666666666667,1.0,0.45454545454545453,0.625,0.475,0.6222222222222222,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,default,"1,9,16",3,11,6,2.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.475,0.6,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.05,"1,9,16",3,11,6,2.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.475,0.6,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.10,"1,9,16",3,11,6,2.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.475,0.6,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.20,"1,9,16",3,11,6,2.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.475,0.6,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.30,"1,9,16",3,11,6,2.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.475,0.6,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.50,"1,9,16",3,11,4,1.3333333333333333,1.0,0.36363636363636365,0.5333333333333333,0.35,0.5333333333333333,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.60,"1,9,16",3,11,4,1.3333333333333333,1.0,0.36363636363636365,0.5333333333333333,0.35,0.5333333333333333,1.0,1.0,1.0,0,0,0,0
v4_prompt_qwen36_35b_iq3_compact_first3,0.70,"1,9,16",3,11,1,0.3333333333333333,1.0,0.09090909090909091,0.16666666666666666,0.125,0.16666666666666666,1.0,0.3333333333333333,0.5,0,2,0,0
