average,precision,recall,f1,hamming_loss,subset_accuracy
micro,0.03426638560713761,0.7639344262295082,0.06559069156423009,0.5532222222222222,0.0
macro,0.035053827845240554,0.4971658661891057,0.056712626507994766,0.5532222222222222,0.0
weighted,0.19557982600838572,0.7639344262295082,0.29225231056965917,0.5532222222222222,0.0
samples,0.03341319581116957,0.5513333333333332,0.062478701310095135,0.5532222222222222,0.0
