variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v5,0.45,237,656,335,1.4135021097046414,0.8507462686567164,0.4344512195121951,0.5751765893037336,0.38811235007552225,0.541974293873028,0.9947643979057592,0.8370044052863436,0.9090909090909091,1,37
social_signal_v5,0.50,237,656,335,1.4135021097046414,0.8507462686567164,0.4344512195121951,0.5751765893037336,0.38811235007552225,0.541974293873028,0.9947643979057592,0.8370044052863436,0.9090909090909091,1,37
social_signal_v5,0.60,237,656,335,1.4135021097046414,0.8507462686567164,0.4344512195121951,0.5751765893037336,0.38811235007552225,0.541974293873028,0.9947643979057592,0.8370044052863436,0.9090909090909091,1,37
social_signal_v5,0.40,237,656,336,1.4177215189873418,0.8482142857142857,0.4344512195121951,0.5745967741935484,0.38742269490310843,0.5416729074956923,0.9947643979057592,0.8370044052863436,0.9090909090909091,1,37
social_signal_v5,default,237,656,734,3.0970464135021096,0.5286103542234333,0.5914634146341463,0.5582733812949641,0.3933685777737938,0.5325777363752048,0.9659574468085106,1.0,0.9826839826839827,8,0
social_signal_v5,0.05,237,656,734,3.0970464135021096,0.5286103542234333,0.5914634146341463,0.5582733812949641,0.3933685777737938,0.5325777363752048,0.9659574468085106,1.0,0.9826839826839827,8,0
social_signal_v5,0.10,237,656,734,3.0970464135021096,0.5286103542234333,0.5914634146341463,0.5582733812949641,0.3933685777737938,0.5325777363752048,0.9659574468085106,1.0,0.9826839826839827,8,0
social_signal_v5,0.20,237,656,734,3.0970464135021096,0.5286103542234333,0.5914634146341463,0.5582733812949641,0.3933685777737938,0.5325777363752048,0.9659574468085106,1.0,0.9826839826839827,8,0
social_signal_v5,0.30,237,656,734,3.0970464135021096,0.5286103542234333,0.5914634146341463,0.5582733812949641,0.3933685777737938,0.5325777363752048,0.9659574468085106,1.0,0.9826839826839827,8,0
social_signal_v5,0.70,237,656,88,0.37130801687763715,0.9318181818181818,0.125,0.22043010752688172,0.17125072350915158,0.2091520996584288,1.0,0.3744493392070485,0.5448717948717948,0,142
