variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v3,default,237,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_signal_v3,0.05,237,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_signal_v3,0.10,237,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_signal_v3,0.20,237,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_signal_v3,0.30,237,656,278,1.1729957805907174,0.7014388489208633,0.2972560975609756,0.41755888650963596,0.23220705899988622,0.4037338423414373,0.9576271186440678,0.9955947136563876,0.9762419006479481,10,1
social_signal_v3,0.40,237,656,146,0.6160337552742616,0.8493150684931506,0.18902439024390244,0.3092269326683292,0.21063019944563857,0.30619516442301253,1.0,0.5770925110132159,0.7318435754189944,0,96
social_signal_v3,0.45,237,656,146,0.6160337552742616,0.8493150684931506,0.18902439024390244,0.3092269326683292,0.21063019944563857,0.30619516442301253,1.0,0.5770925110132159,0.7318435754189944,0,96
social_signal_v3,0.50,237,656,146,0.6160337552742616,0.8493150684931506,0.18902439024390244,0.3092269326683292,0.21063019944563857,0.30619516442301253,1.0,0.5770925110132159,0.7318435754189944,0,96
social_signal_v3,0.60,237,656,146,0.6160337552742616,0.8493150684931506,0.18902439024390244,0.3092269326683292,0.21063019944563857,0.30619516442301253,1.0,0.5770925110132159,0.7318435754189944,0,96
social_signal_v3,0.70,237,656,66,0.27848101265822783,0.8484848484848485,0.08536585365853659,0.15512465373961218,0.13190276228832826,0.16896724934699617,1.0,0.2907488986784141,0.45051194539249145,0,161
