variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,0.60,18,38,19,1.0555555555555556,0.6842105263157895,0.34210526315789475,0.45614035087719296,0.39777777777777773,0.41243386243386243,1.0,0.625,0.7692307692307693,0,6,0,0
v4_prompt,0.40,18,38,27,1.5,0.48148148148148145,0.34210526315789475,0.4,0.3943589743589743,0.3013227513227514,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.45,18,38,27,1.5,0.48148148148148145,0.34210526315789475,0.4,0.3943589743589743,0.3013227513227514,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.50,18,38,27,1.5,0.48148148148148145,0.34210526315789475,0.4,0.3943589743589743,0.3013227513227514,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,default,18,38,28,1.5555555555555556,0.4642857142857143,0.34210526315789475,0.3939393939393939,0.3854700854700855,0.29735449735449737,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.05,18,38,28,1.5555555555555556,0.4642857142857143,0.34210526315789475,0.3939393939393939,0.3854700854700855,0.29735449735449737,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.10,18,38,28,1.5555555555555556,0.4642857142857143,0.34210526315789475,0.3939393939393939,0.3854700854700855,0.29735449735449737,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.20,18,38,28,1.5555555555555556,0.4642857142857143,0.34210526315789475,0.3939393939393939,0.3854700854700855,0.29735449735449737,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.30,18,38,28,1.5555555555555556,0.4642857142857143,0.34210526315789475,0.3939393939393939,0.3854700854700855,0.29735449735449737,0.8888888888888888,1.0,0.9411764705882353,2,0,0,0
v4_prompt,0.70,18,38,15,0.8333333333333334,0.6666666666666666,0.2631578947368421,0.37735849056603776,0.3577777777777778,0.36243386243386244,1.0,0.5625,0.72,0,7,0,0
