variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v3,default,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.18888888888888886,0.2574074074074074,0.875,0.875,0.875,2,2
social_signal_v3,0.05,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.18888888888888886,0.2574074074074074,0.875,0.875,0.875,2,2
social_signal_v3,0.10,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.18888888888888886,0.2574074074074074,0.875,0.875,0.875,2,2
social_signal_v3,0.20,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.18888888888888886,0.2574074074074074,0.875,0.875,0.875,2,2
social_signal_v3,0.30,18,38,18,1.0,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.18888888888888886,0.2574074074074074,0.875,0.875,0.875,2,2
social_signal_v3,0.40,18,38,8,0.4444444444444444,0.625,0.13157894736842105,0.21739130434782608,0.1711111111111111,0.27222222222222225,1.0,0.4375,0.6086956521739131,0,9
social_signal_v3,0.45,18,38,8,0.4444444444444444,0.625,0.13157894736842105,0.21739130434782608,0.1711111111111111,0.27222222222222225,1.0,0.4375,0.6086956521739131,0,9
social_signal_v3,0.50,18,38,8,0.4444444444444444,0.625,0.13157894736842105,0.21739130434782608,0.1711111111111111,0.27222222222222225,1.0,0.4375,0.6086956521739131,0,9
social_signal_v3,0.60,18,38,8,0.4444444444444444,0.625,0.13157894736842105,0.21739130434782608,0.1711111111111111,0.27222222222222225,1.0,0.4375,0.6086956521739131,0,9
social_signal_v3,0.70,18,38,3,0.16666666666666666,0.3333333333333333,0.02631578947368421,0.04878048780487805,0.014814814814814814,0.13333333333333333,1.0,0.1875,0.3157894736842105,0,13
