step,trigger,target,tune_micro_f1,tune_micro_precision,tune_micro_recall,tune_added_precision,tune_added_count
1,latent_candidate_v3_think_true@0.05:consumer_price_index,real_income_index,0.5093378607809848,0.5813953488372093,0.45317220543806647,0.625,32
2,latent_candidate_v3_think_true@0.05:consumer_price_index,enterprises_count,0.5469255663430421,0.5888501742160279,0.5105740181268882,0.6551724137931034,29
3,base_has_crime_count,life_expectancy,0.5665101721439749,0.5876623376623377,0.5468277945619335,0.5714285714285714,21
4,recall_max_think_true@0.05:international_inflow,industrial_production_index,0.5823170731707317,0.5876923076923077,0.5770392749244713,0.5882352941176471,17
5,recall_max_think_true@0.05:enterprises_count,industrial_production_index,0.595166163141994,0.595166163141994,0.595166163141994,1.0,6
6,latent_candidate_v3_think_true@0.35:consumer_price_index,per_capita_income,0.6055312954876274,0.5842696629213483,0.6283987915407855,0.44,25
7,search_primary_first_v2@0.05:consumer_price_index,industrial_production_index,0.6138328530259366,0.5867768595041323,0.6435045317220544,0.7142857142857143,7
8,search_hard_negative_v2@0.05:crime_count,industrial_production_index,0.6197991391678622,0.5901639344262295,0.6525679758308157,1.0,3
9,latent_candidate_v3_think_true@0.35:enterprises_count,consumer_price_index,0.6251768033946252,0.5877659574468085,0.6676737160120846,0.5,10
10,search_few_shot_major_v3@0.35:industrial_production_index,enterprises_count,0.6302521008403361,0.587467362924282,0.6797583081570997,0.5714285714285714,7
11,grouped_event_think_true@0.35:hospitals,mortality_rate,0.6342141863699583,0.5876288659793815,0.6888217522658611,0.6,5
12,base_has_qualified_doctors,hospitals,0.6380027739251041,0.5897435897435898,0.6948640483383686,1.0,2
13,search_balanced_recall_v2@0.05:air_pollution,industrial_production_index,0.6417704011065007,0.5918367346938775,0.7009063444108762,1.0,2
14,search_balanced_recall_v2@0.05:wastewater_discharge,enterprises_count,0.6455172413793103,0.5939086294416244,0.7069486404833837,1.0,2
15,grouped_event_think_true@0.05:unemployment_rate,crime_count,0.6492434662998624,0.5959595959595959,0.7129909365558912,1.0,2
16,grouped_event_think_true@0.05:large_families_housing,housing_area_per_capita,0.6529492455418381,0.5979899497487438,0.7190332326283988,1.0,2
17,search_production_v1@0.05:consumer_price_index,crime_count,0.6558265582655827,0.5945945945945946,0.7311178247734139,0.4444444444444444,9
18,latent_candidate_v3_think_true@0.05:qualified_doctors,life_expectancy,0.6585695006747638,0.5951219512195122,0.7371601208459214,0.6666666666666666,3
19,search_hard_negative_v2@0.60:enterprises_count,real_income_index,0.6612903225806451,0.5956416464891041,0.743202416918429,0.6666666666666666,3
20,grouped_event_think_true@0.35:enterprises_count,air_pollution,0.6631016042780749,0.5947242206235012,0.7492447129909365,0.5,4
21,search_production_v1@0.35:international_inflow,per_capita_income,0.6648936170212766,0.5938242280285035,0.7552870090634441,0.5,4
22,search_balanced_recall_v2@0.05:international_outflow,per_capita_income,0.6666666666666666,0.5947867298578199,0.7583081570996979,1.0,1
23,search_balanced_recall_v2@0.05:international_outflow,enterprises_count,0.6684350132625995,0.5957446808510638,0.7613293051359517,1.0,1
24,search_balanced_recall_v2@0.05:international_outflow,air_pollution,0.6701986754966888,0.5966981132075472,0.7643504531722054,1.0,1
25,search_balanced_recall_v2@0.05:hospitals,unemployment_rate,0.671957671957672,0.5976470588235294,0.7673716012084593,1.0,1
26,recall_max_think_true@0.05:wastewater_discharge,living_wage,0.6737120211360634,0.5985915492957746,0.770392749244713,1.0,1
27,grouped_event_think_true@0.05:internal_departures,wastewater_discharge,0.6754617414248021,0.5995316159250585,0.7734138972809668,1.0,1
28,grouped_event_think_true@0.05:living_wage,housing_area_per_capita,0.6772068511198946,0.6004672897196262,0.7764350453172205,1.0,1
29,latent_candidate_v3_think_true@0.05:qualified_doctors,hospitals,0.6789473684210526,0.6013986013986014,0.7794561933534743,1.0,1
30,latent_candidate_v3_think_true@0.05:wastewater_discharge,wastewater_discharge,0.6806833114323259,0.6023255813953489,0.7824773413897281,1.0,1
31,search_production_v1@0.05:housing_area_per_capita,per_capita_income,0.6824146981627297,0.6032482598607889,0.7854984894259819,1.0,1
32,search_production_v1@0.05:enterprises_count,consumer_price_index,0.6841415465268676,0.6041666666666666,0.7885196374622356,1.0,1
33,search_primary_first_v2@0.35:crime_count,mortality_rate,0.6858638743455497,0.605080831408776,0.7915407854984894,1.0,1
34,search_primary_first_v2@0.35:air_pollution,wastewater_discharge,0.6875816993464052,0.6059907834101382,0.7945619335347432,1.0,1
35,search_hard_negative_v2@0.05:international_inflow,enterprises_count,0.6892950391644909,0.6068965517241379,0.797583081570997,1.0,1
36,search_hard_negative_v2@0.05:crime_count,mortality_rate,0.6910039113428944,0.6077981651376146,0.8006042296072508,1.0,1
37,search_few_shot_major_v3@0.05:air_pollution,air_pollution,0.6927083333333334,0.6086956521739131,0.8036253776435045,1.0,1
38,search_few_shot_major_v3@0.35:crime_count,crime_count,0.694408322496749,0.6095890410958904,0.8066465256797583,1.0,1
39,base_has_internal_arrivals,industrial_production_index,0.695201037613489,0.6090909090909091,0.8096676737160121,0.5,2
40,recall_max_think_true@0.05:air_pollution,wastewater_discharge,0.6959896507115135,0.6085972850678733,0.8126888217522659,0.5,2
41,latent_candidate_v3_think_true@0.05:qualified_doctors,per_capita_income,0.6967741935483871,0.6081081081081081,0.8157099697885196,0.5,2
42,latent_candidate_v3_think_true@0.35:qualified_doctors,outpatient_clinics,0.6975546975546976,0.6076233183856502,0.8187311178247734,0.5,2
43,search_production_v1@0.35:hospitals,internal_departures,0.6983311938382541,0.6071428571428571,0.8217522658610272,0.5,2
