variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
social_signal_v5,0.60,237,656,480,2.0253164556962027,0.675,0.49390243902439024,0.5704225352112676,0.39173733031144947,0.5181577681577682,0.9680365296803652,0.933920704845815,0.9506726457399103,7,15
social_signal_v5,0.40,237,656,482,2.0337552742616034,0.6721991701244814,0.49390243902439024,0.5694200351493849,0.39101659851432974,0.5171330544748266,0.9680365296803652,0.933920704845815,0.9506726457399103,7,15
social_signal_v5,0.45,237,656,482,2.0337552742616034,0.6721991701244814,0.49390243902439024,0.5694200351493849,0.39101659851432974,0.5171330544748266,0.9680365296803652,0.933920704845815,0.9506726457399103,7,15
social_signal_v5,0.50,237,656,482,2.0337552742616034,0.6721991701244814,0.49390243902439024,0.5694200351493849,0.39101659851432974,0.5171330544748266,0.9680365296803652,0.933920704845815,0.9506726457399103,7,15
social_signal_v5,default,237,656,693,2.9240506329113924,0.5209235209235209,0.5503048780487805,0.5352112676056338,0.3712782020219476,0.48971694034985175,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.20,237,656,693,2.9240506329113924,0.5209235209235209,0.5503048780487805,0.5352112676056338,0.3712782020219476,0.48971694034985175,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.30,237,656,693,2.9240506329113924,0.5209235209235209,0.5503048780487805,0.5352112676056338,0.3712782020219476,0.48971694034985175,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.05,237,656,694,2.928270042194093,0.5201729106628242,0.5503048780487805,0.5348148148148149,0.3709955564594829,0.4892648607838481,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.10,237,656,694,2.928270042194093,0.5201729106628242,0.5503048780487805,0.5348148148148149,0.3709955564594829,0.4892648607838481,0.9578059071729957,1.0,0.978448275862069,10,0
social_signal_v5,0.70,237,656,296,1.248945147679325,0.8243243243243243,0.3719512195121951,0.5126050420168067,0.364807005292951,0.47808921036769136,0.989010989010989,0.7929515418502202,0.8801955990220048,2,47
