config,factor_key,support,predicted,precision,recall,f1,tp,fp,fn
social_signal_v3_think@0.05,consumer_price_index,64,28,0.6071428571428571,0.265625,0.3695652173913043,17,11,47
social_signal_v3_think@0.05,primary_housing_price_index,1,0,0.0,0.0,0.0,0,0,1
social_signal_v3_think@0.05,secondary_housing_price_index,0,0,0.0,0.0,0.0,0,0,0
social_signal_v3_think@0.05,industrial_production_index,130,102,0.8627450980392157,0.676923076923077,0.7586206896551724,88,14,42
social_signal_v3_think@0.05,enterprises_count,100,8,0.75,0.06,0.1111111111111111,6,2,94
social_signal_v3_think@0.05,crime_count,73,45,0.8444444444444444,0.5205479452054794,0.6440677966101694,38,7,35
social_signal_v3_think@0.05,air_pollution,17,7,0.5714285714285714,0.23529411764705882,0.3333333333333333,4,3,13
social_signal_v3_think@0.05,wastewater_discharge,16,4,1.0,0.25,0.4,4,0,12
social_signal_v3_think@0.05,mortality_rate,26,15,0.7333333333333333,0.4230769230769231,0.5365853658536586,11,4,15
social_signal_v3_think@0.05,birth_rate_per_1000,3,0,0.0,0.0,0.0,0,0,3
old_union+social_signal_think,population_size,5,3,0.3333333333333333,0.2,0.25,1,2,4
old_union+social_signal_think,divorce_rate,1,1,1.0,1.0,1.0,1,0,0
old_union+social_signal_think,marriage_rate,1,0,0.0,0.0,0.0,0,0,1
old_union+social_signal_think,international_inflow,10,64,0.15625,1.0,0.2702702702702703,10,54,0
old_union+social_signal_think,international_outflow,2,27,0.0,0.0,0.0,0,27,2
old_union+social_signal_think,internal_arrivals,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
old_union+social_signal_think,internal_departures,6,4,0.25,0.16666666666666666,0.2,1,3,5
old_union+social_signal_think,infant_mortality,1,1,0.0,0.0,0.0,0,1,1
old_union+social_signal_think,life_expectancy,51,14,0.7857142857142857,0.21568627450980393,0.3384615384615385,11,3,40
old_union+social_signal_think,male_population,2,0,0.0,0.0,0.0,0,0,2
old_union+social_signal_think,female_population,0,0,0.0,0.0,0.0,0,0,0
old_union+social_signal_think,per_capita_income,40,9,0.7777777777777778,0.175,0.2857142857142857,7,2,33
old_union+social_signal_think,real_income_index,47,3,0.6666666666666666,0.0425531914893617,0.08,2,1,45
old_union+social_signal_think,unemployment_rate,6,6,0.0,0.0,0.0,0,6,6
old_union+social_signal_think,living_wage,4,2,0.0,0.0,0.0,0,2,4
old_union+social_signal_think,child_living_wage,0,3,0.0,0.0,0.0,0,3,0
old_union+social_signal_think,hospitals,20,34,0.4117647058823529,0.7,0.5185185185185185,14,20,6
old_union+social_signal_think,outpatient_clinics,1,2,0.0,0.0,0.0,0,2,1
old_union+social_signal_think,abortions,0,0,0.0,0.0,0.0,0,0,0
old_union+social_signal_think,qualified_doctors,5,5,0.6,0.6,0.6,3,2,2
old_union+social_signal_think,preschool_coverage,3,1,1.0,0.3333333333333333,0.5,1,0,2
old_union+social_signal_think,children_benefits,2,4,0.25,0.5,0.3333333333333333,1,3,1
old_union+social_signal_think,maternity_capital,0,0,0.0,0.0,0.0,0,0,0
old_union+social_signal_think,childcare_allowance,0,0,0.0,0.0,0.0,0,0,0
old_union+social_signal_think,large_families_housing,0,1,0.0,0.0,0.0,0,1,0
old_union+social_signal_think,housing_area_per_capita,16,14,0.6428571428571429,0.5625,0.6,9,5,7
old_union+social_signal_think,consumer_price_index,64,56,0.6428571428571429,0.5625,0.6,36,20,28
old_union+social_signal_think,primary_housing_price_index,1,1,1.0,1.0,1.0,1,0,0
old_union+social_signal_think,secondary_housing_price_index,0,0,0.0,0.0,0.0,0,0,0
old_union+social_signal_think,industrial_production_index,130,121,0.8264462809917356,0.7692307692307693,0.796812749003984,100,21,30
old_union+social_signal_think,enterprises_count,100,41,0.8780487804878049,0.36,0.5106382978723404,36,5,64
old_union+social_signal_think,crime_count,73,63,0.7777777777777778,0.6712328767123288,0.7205882352941176,49,14,24
old_union+social_signal_think,air_pollution,17,24,0.20833333333333334,0.29411764705882354,0.24390243902439024,5,19,12
old_union+social_signal_think,wastewater_discharge,16,10,0.8,0.5,0.6153846153846154,8,2,8
old_union+social_signal_think,mortality_rate,26,25,0.64,0.6153846153846154,0.6274509803921569,16,9,10
old_union+social_signal_think,birth_rate_per_1000,3,0,0.0,0.0,0.0,0,0,3
