variant,split,mode,threshold,n_news,true_positive_pairs,pred_positive_pairs,mean_pred_labels_per_news,factor_micro_precision,factor_micro_recall,factor_micro_f1,factor_macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news
grouped_event_v1_search_think_true,search,threshold,0.35,300,307,165,0.55,0.48484848484848486,0.26058631921824105,0.3389830508474576,0.2778383810964693,0.40706349206349207,0.9423076923076923,0.43171806167400884,0.5921450151057401,6,129
grouped_event_v1_search_think_true,search,threshold,0.4,300,307,165,0.55,0.48484848484848486,0.26058631921824105,0.3389830508474576,0.2778383810964693,0.40706349206349207,0.9423076923076923,0.43171806167400884,0.5921450151057401,6,129
grouped_event_v1_search_think_true,search,threshold,0.45,300,307,165,0.55,0.48484848484848486,0.26058631921824105,0.3389830508474576,0.2778383810964693,0.40706349206349207,0.9423076923076923,0.43171806167400884,0.5921450151057401,6,129
grouped_event_v1_search_think_true,search,threshold,0.5,300,307,165,0.55,0.48484848484848486,0.26058631921824105,0.3389830508474576,0.2778383810964693,0.40706349206349207,0.9423076923076923,0.43171806167400884,0.5921450151057401,6,129
grouped_event_v1_search_think_true,search,threshold,0.55,300,307,165,0.55,0.48484848484848486,0.26058631921824105,0.3389830508474576,0.2778383810964693,0.40706349206349207,0.9423076923076923,0.43171806167400884,0.5921450151057401,6,129
grouped_event_v1_search_think_true,search,threshold,0.6,300,307,165,0.55,0.48484848484848486,0.26058631921824105,0.3389830508474576,0.2778383810964693,0.40706349206349207,0.9423076923076923,0.43171806167400884,0.5921450151057401,6,129
grouped_event_v1_search_think_true,search,threshold,0.05,300,307,636,2.12,0.2468553459119497,0.511400651465798,0.3329798515376458,0.26745063845395906,0.35703174603174603,0.8091286307053942,0.8590308370044053,0.8333333333333334,46,32
grouped_event_v1_search_think_true,search,threshold,0.1,300,307,636,2.12,0.2468553459119497,0.511400651465798,0.3329798515376458,0.26745063845395906,0.35703174603174603,0.8091286307053942,0.8590308370044053,0.8333333333333334,46,32
grouped_event_v1_search_think_true,search,threshold,0.15,300,307,636,2.12,0.2468553459119497,0.511400651465798,0.3329798515376458,0.26745063845395906,0.35703174603174603,0.8091286307053942,0.8590308370044053,0.8333333333333334,46,32
grouped_event_v1_search_think_true,search,threshold,0.2,300,307,636,2.12,0.2468553459119497,0.511400651465798,0.3329798515376458,0.26745063845395906,0.35703174603174603,0.8091286307053942,0.8590308370044053,0.8333333333333334,46,32
grouped_event_v1_search_think_true,search,threshold,0.25,300,307,636,2.12,0.2468553459119497,0.511400651465798,0.3329798515376458,0.26745063845395906,0.35703174603174603,0.8091286307053942,0.8590308370044053,0.8333333333333334,46,32
grouped_event_v1_search_think_true,search,threshold,0.3,300,307,636,2.12,0.2468553459119497,0.511400651465798,0.3329798515376458,0.26745063845395906,0.35703174603174603,0.8091286307053942,0.8590308370044053,0.8333333333333334,46,32
grouped_event_v1_search_think_true,search,default,,300,307,140,0.4666666666666667,0.5142857142857142,0.23452768729641693,0.3221476510067114,0.23971033844219736,0.3883333333333333,0.9361702127659575,0.3876651982378855,0.5482866043613707,6,139
grouped_event_v1_search_think_true,search,threshold,0.65,300,307,36,0.12,0.8333333333333334,0.09771986970684039,0.1749271137026239,0.21888136018570797,0.32166666666666666,1.0,0.14537444933920704,0.25384615384615383,0,194
grouped_event_v1_search_think_true,search,threshold,0.7,300,307,36,0.12,0.8333333333333334,0.09771986970684039,0.1749271137026239,0.21888136018570797,0.32166666666666666,1.0,0.14537444933920704,0.25384615384615383,0,194
grouped_event_v1_search_think_true,search,threshold,0.75,300,307,36,0.12,0.8333333333333334,0.09771986970684039,0.1749271137026239,0.21888136018570797,0.32166666666666666,1.0,0.14537444933920704,0.25384615384615383,0,194
grouped_event_v1_search_think_true,search,threshold,0.8,300,307,36,0.12,0.8333333333333334,0.09771986970684039,0.1749271137026239,0.21888136018570797,0.32166666666666666,1.0,0.14537444933920704,0.25384615384615383,0,194
grouped_event_v1_search_think_true,search,threshold,0.85,300,307,36,0.12,0.8333333333333334,0.09771986970684039,0.1749271137026239,0.21888136018570797,0.32166666666666666,1.0,0.14537444933920704,0.25384615384615383,0,194
grouped_event_v1_search_think_true,search,threshold,0.9,300,307,36,0.12,0.8333333333333334,0.09771986970684039,0.1749271137026239,0.21888136018570797,0.32166666666666666,1.0,0.14537444933920704,0.25384615384615383,0,194
grouped_event_v1_search_think_true,search,threshold,0.95,300,307,2,0.006666666666666667,1.0,0.006514657980456026,0.012944983818770227,0.05016722408026755,0.24777777777777776,1.0,0.00881057268722467,0.017467248908296942,0,225
