name,pairs,mean_labels,precision,recall,f1,macro_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,false_relevant,missed_all
factor_oracle_search_overfit,313,1.0433333333333332,0.6134185303514377,0.6254071661237784,0.6193548387096774,0.5595857430372545,0.611015873015873,0.8862559241706162,0.8237885462555066,0.8538812785388128,24,40
union:baseline_balanced@0.35+thinking_recall_v1@0.35+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.35+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.35+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.45+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.45+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.45+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.6+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.6+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.35+thinking_recall_v1@0.6+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.35+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.35+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.35+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.45+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.45+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.45+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.6+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.6+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.45+thinking_recall_v1@0.6+grouped_event@0.6,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.6+thinking_recall_v1@0.35+grouped_event@0.35,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
union:baseline_balanced@0.6+thinking_recall_v1@0.35+grouped_event@0.45,295,0.9833333333333333,0.5491525423728814,0.5276872964169381,0.5382059800664452,0.36326220472656173,0.5632142857142857,0.9105263157894737,0.762114537444934,0.829736211031175,17,54
