variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,default,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.05,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.10,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.20,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.30,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.40,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.45,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.50,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.60,237,681,351,1.481012658227848,0.8148148148148148,0.4199706314243759,0.5542635658914729,0.3324538330739562,0.5497573687447105,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
v4_prompt,0.70,237,681,348,1.4683544303797469,0.8160919540229885,0.4170337738619677,0.5519922254616132,0.2946184934802502,0.5480696050316304,1.0,0.9367088607594937,0.9673202614379085,0,15,0,108
