average,precision,recall,f1,hamming_loss,subset_accuracy
micro,0.4702194357366771,0.16393442622950818,0.24311183144246354,0.025944444444444444,0.327
macro,0.2541132924904855,0.07776073114717502,0.09564881338733712,0.025944444444444444,0.327
weighted,0.7201901840210727,0.16393442622950818,0.23777007495802976,0.025944444444444444,0.327
samples,0.146,0.1205,0.12783333333333333,0.025944444444444444,0.327
