variant,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,excluded_news,error_rows
v4_prompt,default,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.05,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.10,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.20,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.30,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.40,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.45,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.50,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.60,237,681,467,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
v4_prompt,0.70,237,681,459,1.9367088607594938,0.7320261437908496,0.4933920704845815,0.5894736842105263,0.32793944865296454,0.5671589310829817,1.0,0.9620253164556962,0.9806451612903225,0,9,0,36
