name,pred_positive_pairs,pred_relevant_news,mean_pred_labels_per_news,exact_match,sample_f1_empty_correct,sample_jaccard_empty_correct,factor_micro_f1,factor_micro_precision,factor_micro_recall,factor_macro_f1_all36,factor_macro_f1_supported,factor_macro_f1_head_ge25,factor_weighted_f1,hamming_loss,any_relevant_precision,any_relevant_recall,any_relevant_f1,empty_specificity
threshold_0.05,787,755,0.787,0.402,0.4859,0.46425,0.48766157461809634,0.5273189326556544,0.453551912568306,0.1662253050064456,0.26017873827095833,0.38314565251372634,0.4672537621781034,0.02422222222222222,0.7933774834437086,0.8262068965517242,0.8094594594594594,0.43272727272727274
threshold_0.10,787,755,0.787,0.402,0.4859,0.46425,0.48766157461809634,0.5273189326556544,0.453551912568306,0.1662253050064456,0.26017873827095833,0.38314565251372634,0.4672537621781034,0.02422222222222222,0.7933774834437086,0.8262068965517242,0.8094594594594594,0.43272727272727274
threshold_0.15,783,751,0.783,0.404,0.4879,0.46625,0.48881036513545345,0.5300127713920817,0.453551912568306,0.1664473749293354,0.260526325976351,0.3841449671667304,0.4684099935153847,0.02411111111111111,0.7949400798934754,0.8234482758620689,0.8089430894308943,0.44
threshold_0.20,783,751,0.783,0.404,0.4879,0.46625,0.48881036513545345,0.5300127713920817,0.453551912568306,0.1664473749293354,0.260526325976351,0.3841449671667304,0.4684099935153847,0.02411111111111111,0.7949400798934754,0.8234482758620689,0.8089430894308943,0.44
threshold_0.25,783,751,0.783,0.404,0.4879,0.46625,0.48881036513545345,0.5300127713920817,0.453551912568306,0.1664473749293354,0.260526325976351,0.3841449671667304,0.4684099935153847,0.02411111111111111,0.7949400798934754,0.8234482758620689,0.8089430894308943,0.44
threshold_0.30,783,751,0.783,0.404,0.4879,0.46625,0.48881036513545345,0.5300127713920817,0.453551912568306,0.1664473749293354,0.260526325976351,0.3841449671667304,0.4684099935153847,0.02411111111111111,0.7949400798934754,0.8234482758620689,0.8089430894308943,0.44
threshold_0.35,411,400,0.411,0.431,0.49200000000000005,0.4763333333333334,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.16179463709736044,0.2532437798045641,0.344967206807403,0.4039538688934997,0.021,0.915,0.5048275862068966,0.6506666666666666,0.8763636363636363
threshold_0.40,411,400,0.411,0.431,0.49200000000000005,0.4763333333333334,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.16179463709736044,0.2532437798045641,0.344967206807403,0.4039538688934997,0.021,0.915,0.5048275862068966,0.6506666666666666,0.8763636363636363
threshold_0.45,411,400,0.411,0.431,0.49200000000000005,0.4763333333333334,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.16179463709736044,0.2532437798045641,0.344967206807403,0.4039538688934997,0.021,0.915,0.5048275862068966,0.6506666666666666,0.8763636363636363
threshold_0.50,411,400,0.411,0.431,0.49200000000000005,0.4763333333333334,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.16179463709736044,0.2532437798045641,0.344967206807403,0.4039538688934997,0.021,0.915,0.5048275862068966,0.6506666666666666,0.8763636363636363
threshold_0.55,411,400,0.411,0.431,0.49200000000000005,0.4763333333333334,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.16179463709736044,0.2532437798045641,0.344967206807403,0.4039538688934997,0.021,0.915,0.5048275862068966,0.6506666666666666,0.8763636363636363
threshold_0.60,411,400,0.411,0.431,0.49200000000000005,0.4763333333333334,0.4298642533936652,0.6934306569343066,0.3114754098360656,0.16179463709736044,0.2532437798045641,0.344967206807403,0.4039538688934997,0.021,0.915,0.5048275862068966,0.6506666666666666,0.8763636363636363
threshold_0.65,107,107,0.107,0.333,0.3496666666666667,0.3455,0.16829745596868884,0.8037383177570093,0.09398907103825137,0.03878249773287021,0.060703039929709886,0.14952123979791593,0.1609986918416364,0.02361111111111111,0.9719626168224299,0.14344827586206896,0.25,0.9890909090909091
threshold_0.70,107,107,0.107,0.333,0.3496666666666667,0.3455,0.16829745596868884,0.8037383177570093,0.09398907103825137,0.03878249773287021,0.060703039929709886,0.14952123979791593,0.1609986918416364,0.02361111111111111,0.9719626168224299,0.14344827586206896,0.25,0.9890909090909091
threshold_0.75,104,104,0.104,0.33,0.3466666666666667,0.3425,0.16290480863591755,0.7980769230769231,0.0907103825136612,0.03796893066418269,0.0594296306048077,0.1458601879888221,0.15561157971946987,0.023694444444444445,0.9711538461538461,0.1393103448275862,0.2436670687575392,0.9890909090909091
threshold_0.80,104,104,0.104,0.33,0.3466666666666667,0.3425,0.16290480863591755,0.7980769230769231,0.0907103825136612,0.03796893066418269,0.0594296306048077,0.1458601879888221,0.15561157971946987,0.023694444444444445,0.9711538461538461,0.1393103448275862,0.2436670687575392,0.9890909090909091
threshold_0.85,104,104,0.104,0.33,0.3466666666666667,0.3425,0.16290480863591755,0.7980769230769231,0.0907103825136612,0.03796893066418269,0.0594296306048077,0.1458601879888221,0.15561157971946987,0.023694444444444445,0.9711538461538461,0.1393103448275862,0.2436670687575392,0.9890909090909091
threshold_0.90,104,104,0.104,0.33,0.3466666666666667,0.3425,0.16290480863591755,0.7980769230769231,0.0907103825136612,0.03796893066418269,0.0594296306048077,0.1458601879888221,0.15561157971946987,0.023694444444444445,0.9711538461538461,0.1393103448275862,0.2436670687575392,0.9890909090909091
threshold_0.95,10,10,0.01,0.281,0.2836666666666666,0.283,0.021621621621621623,1.0,0.01092896174863388,0.004851595419831833,0.007593801526693304,0.02183217938924325,0.021395568935255356,0.025138888888888888,1.0,0.013793103448275862,0.027210884353741496,1.0
