config,tp_pairs,sentiment_accuracy,sentiment_macro_f1
social_signal_v3_think@0.05,195,0.5128205128205128,0.4790460580048102
latent_v3@0.45,201,0.6467661691542289,0.6012440341778539
old_union+social_signal_think,313,0.5654952076677316,0.5263821449867963
