label_scope,config,n_news,gold_positive_pairs,gold_mean_labels,gold_empty_news,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,ensemble,threshold
all,all_search_sources_max@0.05,237,656,2.7679324894514767,10,861,3.632911392405063,0.40185830429732866,0.5274390243902439,0.45616348055372447,0.3559162261774736,0.4224152312759907,0.9578059071729957,1.0,0.978448275862069,10,0,all_search_sources_max,0.05
all,all_search_sources_max@0.10,237,656,2.7679324894514767,10,861,3.632911392405063,0.40185830429732866,0.5274390243902439,0.45616348055372447,0.3559162261774736,0.4224152312759907,0.9578059071729957,1.0,0.978448275862069,10,0,all_search_sources_max,0.1
all,all_search_sources_max@0.15,237,656,2.7679324894514767,10,861,3.632911392405063,0.40185830429732866,0.5274390243902439,0.45616348055372447,0.3559162261774736,0.4224152312759907,0.9578059071729957,1.0,0.978448275862069,10,0,all_search_sources_max,0.15
all,all_search_sources_max@0.20,237,656,2.7679324894514767,10,861,3.632911392405063,0.40185830429732866,0.5274390243902439,0.45616348055372447,0.3559162261774736,0.4224152312759907,0.9578059071729957,1.0,0.978448275862069,10,0,all_search_sources_max,0.2
all,all_search_sources_max@0.25,237,656,2.7679324894514767,10,861,3.632911392405063,0.40185830429732866,0.5274390243902439,0.45616348055372447,0.3559162261774736,0.4224152312759907,0.9578059071729957,1.0,0.978448275862069,10,0,all_search_sources_max,0.25
all,all_search_sources_max@0.30,237,656,2.7679324894514767,10,861,3.632911392405063,0.40185830429732866,0.5274390243902439,0.45616348055372447,0.3559162261774736,0.4224152312759907,0.9578059071729957,1.0,0.978448275862069,10,0,all_search_sources_max,0.3
all,all_search_sources_max@0.35,237,656,2.7679324894514767,10,464,1.9578059071729959,0.5732758620689655,0.4054878048780488,0.475,0.37064756360062867,0.42953403839479787,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8,all_search_sources_max,0.35
all,all_search_sources_max@0.40,237,656,2.7679324894514767,10,464,1.9578059071729959,0.5732758620689655,0.4054878048780488,0.475,0.37064756360062867,0.42953403839479787,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8,all_search_sources_max,0.4
all,all_search_sources_max@0.45,237,656,2.7679324894514767,10,460,1.9409282700421941,0.5760869565217391,0.40396341463414637,0.47491039426523296,0.361433916455947,0.42910874872900184,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8,all_search_sources_max,0.45
all,all_search_sources_max@0.50,237,656,2.7679324894514767,10,460,1.9409282700421941,0.5760869565217391,0.40396341463414637,0.47491039426523296,0.361433916455947,0.42910874872900184,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8,all_search_sources_max,0.5
all,all_search_sources_max@0.55,237,656,2.7679324894514767,10,460,1.9409282700421941,0.5760869565217391,0.40396341463414637,0.47491039426523296,0.361433916455947,0.42910874872900184,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8,all_search_sources_max,0.55
all,all_search_sources_max@0.60,237,656,2.7679324894514767,10,460,1.9409282700421941,0.5760869565217391,0.40396341463414637,0.47491039426523296,0.361433916455947,0.42910874872900184,0.9605263157894737,0.9647577092511013,0.9626373626373627,9,8,all_search_sources_max,0.6
all,all_search_sources_max@0.70,237,656,2.7679324894514767,10,122,0.5147679324894515,0.8278688524590164,0.15396341463414634,0.2596401028277635,0.22984139428490638,0.24476257450940997,1.0,0.42290748898678415,0.5944272445820433,0,131,all_search_sources_max,0.7
all,all_search_sources_max@0.80,237,656,2.7679324894514767,10,121,0.510548523206751,0.8264462809917356,0.1524390243902439,0.2574002574002574,0.2294982694235752,0.24265286986805976,1.0,0.4185022026431718,0.5900621118012422,0,132,all_search_sources_max,0.8
all,all_search_sources_max@0.90,237,656,2.7679324894514767,10,119,0.5021097046413502,0.8319327731092437,0.15091463414634146,0.25548387096774194,0.22737625350845586,0.24335610474850977,1.0,0.4185022026431718,0.5900621118012422,0,132,all_search_sources_max,0.9
all,classic_prompt_search_max@0.05,237,656,2.7679324894514767,10,345,1.4556962025316456,0.5797101449275363,0.3048780487804878,0.3996003996003996,0.2382420027780288,0.3889993972272453,0.9568965517241379,0.9779735682819384,0.9673202614379085,10,5,classic_prompt_search_max,0.05
all,classic_prompt_search_max@0.10,237,656,2.7679324894514767,10,345,1.4556962025316456,0.5797101449275363,0.3048780487804878,0.3996003996003996,0.2382420027780288,0.3889993972272453,0.9568965517241379,0.9779735682819384,0.9673202614379085,10,5,classic_prompt_search_max,0.1
all,classic_prompt_search_max@0.15,237,656,2.7679324894514767,10,345,1.4556962025316456,0.5797101449275363,0.3048780487804878,0.3996003996003996,0.2382420027780288,0.3889993972272453,0.9568965517241379,0.9779735682819384,0.9673202614379085,10,5,classic_prompt_search_max,0.15
all,classic_prompt_search_max@0.20,237,656,2.7679324894514767,10,345,1.4556962025316456,0.5797101449275363,0.3048780487804878,0.3996003996003996,0.2382420027780288,0.3889993972272453,0.9568965517241379,0.9779735682819384,0.9673202614379085,10,5,classic_prompt_search_max,0.2
all,classic_prompt_search_max@0.25,237,656,2.7679324894514767,10,345,1.4556962025316456,0.5797101449275363,0.3048780487804878,0.3996003996003996,0.2382420027780288,0.3889993972272453,0.9568965517241379,0.9779735682819384,0.9673202614379085,10,5,classic_prompt_search_max,0.25
all,classic_prompt_search_max@0.30,237,656,2.7679324894514767,10,345,1.4556962025316456,0.5797101449275363,0.3048780487804878,0.3996003996003996,0.2382420027780288,0.3889993972272453,0.9568965517241379,0.9779735682819384,0.9673202614379085,10,5,classic_prompt_search_max,0.3
all,classic_prompt_search_max@0.35,237,656,2.7679324894514767,10,228,0.9620253164556962,0.7149122807017544,0.24847560975609756,0.36877828054298645,0.23925226557543036,0.3671991159332931,0.9886363636363636,0.7665198237885462,0.8635235732009926,2,53,classic_prompt_search_max,0.35
all,classic_prompt_search_max@0.40,237,656,2.7679324894514767,10,228,0.9620253164556962,0.7149122807017544,0.24847560975609756,0.36877828054298645,0.23925226557543036,0.3671991159332931,0.9886363636363636,0.7665198237885462,0.8635235732009926,2,53,classic_prompt_search_max,0.4
all,classic_prompt_search_max@0.45,237,656,2.7679324894514767,10,228,0.9620253164556962,0.7149122807017544,0.24847560975609756,0.36877828054298645,0.23925226557543036,0.3671991159332931,0.9886363636363636,0.7665198237885462,0.8635235732009926,2,53,classic_prompt_search_max,0.45
all,classic_prompt_search_max@0.50,237,656,2.7679324894514767,10,228,0.9620253164556962,0.7149122807017544,0.24847560975609756,0.36877828054298645,0.23925226557543036,0.3671991159332931,0.9886363636363636,0.7665198237885462,0.8635235732009926,2,53,classic_prompt_search_max,0.5
all,classic_prompt_search_max@0.55,237,656,2.7679324894514767,10,228,0.9620253164556962,0.7149122807017544,0.24847560975609756,0.36877828054298645,0.23925226557543036,0.3671991159332931,0.9886363636363636,0.7665198237885462,0.8635235732009926,2,53,classic_prompt_search_max,0.55
all,classic_prompt_search_max@0.60,237,656,2.7679324894514767,10,228,0.9620253164556962,0.7149122807017544,0.24847560975609756,0.36877828054298645,0.23925226557543036,0.3671991159332931,0.9886363636363636,0.7665198237885462,0.8635235732009926,2,53,classic_prompt_search_max,0.6
all,classic_prompt_search_max@0.70,237,656,2.7679324894514767,10,93,0.3924050632911392,0.8172043010752689,0.11585365853658537,0.20293724966622162,0.14624391380934434,0.20413903958207755,1.0,0.3524229074889868,0.5211726384364821,0,147,classic_prompt_search_max,0.7
all,classic_prompt_search_max@0.80,237,656,2.7679324894514767,10,92,0.3881856540084388,0.8152173913043478,0.11432926829268293,0.20053475935828877,0.14588784184532635,0.20202933494072733,1.0,0.34801762114537443,0.5163398692810458,0,148,classic_prompt_search_max,0.8
all,classic_prompt_search_max@0.90,237,656,2.7679324894514767,10,91,0.38396624472573837,0.8131868131868132,0.11280487804878049,0.19812583668005354,0.1455272909886792,0.20034157122764717,1.0,0.34801762114537443,0.5163398692810458,0,148,classic_prompt_search_max,0.9
all,balanced_plus_thinking_max@0.05,237,656,2.7679324894514767,10,270,1.139240506329114,0.6777777777777778,0.27896341463414637,0.3952483801295896,0.1693435165991808,0.40116870939655747,0.9765258215962441,0.9162995594713657,0.9454545454545454,5,19,balanced_plus_thinking_max,0.05
all,balanced_plus_thinking_max@0.10,237,656,2.7679324894514767,10,270,1.139240506329114,0.6777777777777778,0.27896341463414637,0.3952483801295896,0.1693435165991808,0.40116870939655747,0.9765258215962441,0.9162995594713657,0.9454545454545454,5,19,balanced_plus_thinking_max,0.1
all,balanced_plus_thinking_max@0.15,237,656,2.7679324894514767,10,270,1.139240506329114,0.6777777777777778,0.27896341463414637,0.3952483801295896,0.1693435165991808,0.40116870939655747,0.9765258215962441,0.9162995594713657,0.9454545454545454,5,19,balanced_plus_thinking_max,0.15
all,balanced_plus_thinking_max@0.20,237,656,2.7679324894514767,10,270,1.139240506329114,0.6777777777777778,0.27896341463414637,0.3952483801295896,0.1693435165991808,0.40116870939655747,0.9765258215962441,0.9162995594713657,0.9454545454545454,5,19,balanced_plus_thinking_max,0.2
all,balanced_plus_thinking_max@0.25,237,656,2.7679324894514767,10,270,1.139240506329114,0.6777777777777778,0.27896341463414637,0.3952483801295896,0.1693435165991808,0.40116870939655747,0.9765258215962441,0.9162995594713657,0.9454545454545454,5,19,balanced_plus_thinking_max,0.25
all,balanced_plus_thinking_max@0.30,237,656,2.7679324894514767,10,270,1.139240506329114,0.6777777777777778,0.27896341463414637,0.3952483801295896,0.1693435165991808,0.40116870939655747,0.9765258215962441,0.9162995594713657,0.9454545454545454,5,19,balanced_plus_thinking_max,0.3
all,balanced_plus_thinking_max@0.35,237,656,2.7679324894514767,10,170,0.7172995780590717,0.8235294117647058,0.21341463414634146,0.3389830508474576,0.16056320021716816,0.3318866787221217,1.0,0.6167400881057269,0.7629427792915532,0,87,balanced_plus_thinking_max,0.35
all,balanced_plus_thinking_max@0.40,237,656,2.7679324894514767,10,170,0.7172995780590717,0.8235294117647058,0.21341463414634146,0.3389830508474576,0.16056320021716816,0.3318866787221217,1.0,0.6167400881057269,0.7629427792915532,0,87,balanced_plus_thinking_max,0.4
all,balanced_plus_thinking_max@0.45,237,656,2.7679324894514767,10,170,0.7172995780590717,0.8235294117647058,0.21341463414634146,0.3389830508474576,0.16056320021716816,0.3318866787221217,1.0,0.6167400881057269,0.7629427792915532,0,87,balanced_plus_thinking_max,0.45
all,balanced_plus_thinking_max@0.50,237,656,2.7679324894514767,10,170,0.7172995780590717,0.8235294117647058,0.21341463414634146,0.3389830508474576,0.16056320021716816,0.3318866787221217,1.0,0.6167400881057269,0.7629427792915532,0,87,balanced_plus_thinking_max,0.5
all,balanced_plus_thinking_max@0.55,237,656,2.7679324894514767,10,170,0.7172995780590717,0.8235294117647058,0.21341463414634146,0.3389830508474576,0.16056320021716816,0.3318866787221217,1.0,0.6167400881057269,0.7629427792915532,0,87,balanced_plus_thinking_max,0.55
all,balanced_plus_thinking_max@0.60,237,656,2.7679324894514767,10,170,0.7172995780590717,0.8235294117647058,0.21341463414634146,0.3389830508474576,0.16056320021716816,0.3318866787221217,1.0,0.6167400881057269,0.7629427792915532,0,87,balanced_plus_thinking_max,0.6
all,balanced_plus_thinking_max@0.70,237,656,2.7679324894514767,10,50,0.2109704641350211,0.88,0.06707317073170732,0.12464589235127478,0.07924210593735782,0.1378139441430581,1.0,0.21145374449339208,0.3490909090909091,0,179,balanced_plus_thinking_max,0.7
all,balanced_plus_thinking_max@0.80,237,656,2.7679324894514767,10,47,0.19831223628691982,0.8936170212765957,0.06402439024390244,0.11948790896159317,0.0761150544539476,0.1342977697408077,1.0,0.2026431718061674,0.336996336996337,0,181,balanced_plus_thinking_max,0.8
all,balanced_plus_thinking_max@0.90,237,656,2.7679324894514767,10,46,0.1940928270042194,0.8913043478260869,0.0625,0.1168091168091168,0.07570849190899118,0.13218806509945752,1.0,0.19823788546255505,0.33088235294117646,0,182,balanced_plus_thinking_max,0.9
all,balanced_plus_latent_v3_max@0.05,237,656,2.7679324894514767,10,480,2.0253164556962027,0.5541666666666667,0.4054878048780488,0.46830985915492956,0.2796632781786118,0.4318078311749197,0.9578059071729957,1.0,0.978448275862069,10,0,balanced_plus_latent_v3_max,0.05
all,balanced_plus_latent_v3_max@0.10,237,656,2.7679324894514767,10,480,2.0253164556962027,0.5541666666666667,0.4054878048780488,0.46830985915492956,0.2796632781786118,0.4318078311749197,0.9578059071729957,1.0,0.978448275862069,10,0,balanced_plus_latent_v3_max,0.1
all,balanced_plus_latent_v3_max@0.15,237,656,2.7679324894514767,10,480,2.0253164556962027,0.5541666666666667,0.4054878048780488,0.46830985915492956,0.2796632781786118,0.4318078311749197,0.9578059071729957,1.0,0.978448275862069,10,0,balanced_plus_latent_v3_max,0.15
all,balanced_plus_latent_v3_max@0.20,237,656,2.7679324894514767,10,480,2.0253164556962027,0.5541666666666667,0.4054878048780488,0.46830985915492956,0.2796632781786118,0.4318078311749197,0.9578059071729957,1.0,0.978448275862069,10,0,balanced_plus_latent_v3_max,0.2
all,balanced_plus_latent_v3_max@0.25,237,656,2.7679324894514767,10,480,2.0253164556962027,0.5541666666666667,0.4054878048780488,0.46830985915492956,0.2796632781786118,0.4318078311749197,0.9578059071729957,1.0,0.978448275862069,10,0,balanced_plus_latent_v3_max,0.25
