config,tp_factor_pairs,sentiment_accuracy_on_tp,sentiment_macro_f1_on_tp,negative_share_gold_on_tp,neutral_share_gold_on_tp,positive_share_gold_on_tp
full_balanced_recall_v2@0.30,438,0.5114155251141552,0.5065681575739279,0.3858447488584475,0.3310502283105023,0.2831050228310502
search_balanced_recall_v2@0.30,137,0.5766423357664233,0.5592055448773953,0.44525547445255476,0.31386861313868614,0.24087591240875914
latent_candidate_v3_think_true@0.30,231,0.6103896103896104,0.5604006490207922,0.45454545454545453,0.2857142857142857,0.2597402597402597
latent_candidate_v3_think_true@0.45,201,0.6467661691542289,0.6012440341778539,0.4527363184079602,0.3034825870646766,0.24378109452736318
recall_max_think_true@0.30,146,0.6027397260273972,0.5568108768764295,0.4794520547945205,0.3013698630136986,0.2191780821917808
grouped_event_think_true@0.35,92,0.6304347826086957,0.5496045728603868,0.5869565217391305,0.22826086956521738,0.18478260869565216
best_prompt_union_mixed@source_max_score,267,0.6104868913857678,0.5565347252677955,0.46441947565543074,0.2958801498127341,0.2397003745318352
