name,pred_pairs,mean_pred_labels,micro_precision,micro_recall,micro_f1,macro_supported,sample_f1,any_f1,any_precision,any_recall,false_relevant,missed_all
baseline_balanced_threshold_0.30,236,0.7866666666666666,0.559322033898305,0.42996742671009774,0.4861878453038674,0.24686306757077944,0.5118888888888888,0.8454545454545455,0.8732394366197183,0.8193832599118943,27,41
recall_max_think_false_threshold_0.30,256,0.8533333333333334,0.50390625,0.4201954397394137,0.458259325044405,0.18935886887213438,0.45933333333333326,0.8436830835117773,0.8208333333333333,0.8678414096916299,43,30
recall_max_think_true_threshold_0.30,253,0.8433333333333334,0.5296442687747036,0.4364820846905538,0.4785714285714286,0.17976897244631798,0.4858888888888888,0.8522483940042827,0.8291666666666667,0.8766519823788547,41,28
recall_max_think_true_threshold_0.35,168,0.56,0.6726190476190477,0.36807817589576547,0.47578947368421054,0.18965939528471823,0.5186666666666666,0.7552083333333334,0.9235668789808917,0.6387665198237885,12,82
recall_max_think_true_default,152,0.5066666666666667,0.7039473684210527,0.3485342019543974,0.4662309368191721,0.1800898689411275,0.5186666666666666,0.7282608695652174,0.950354609929078,0.5903083700440529,7,93
