metric,bert_baseline,llm_pipeline,delta_llm_minus_bert
Applicability F1,0.8405797101449275,0.5285575992255567,-0.3120221109193708
Factor micro-F1,0.06559069156423009,0.24311183144246354,0.17752113987823345
Primary factor top-1,0.08137931034482758,0.17103448275862068,0.0896551724137931
Primary factor top-3,0.23586206896551723,0.2731034482758621,0.03724137931034485
Signal accuracy on true factor,0.39586206896551723,0.16689655172413792,-0.2289655172413793
Daily risk_index RMSE,0.12841998564909846,0.026708542158890118,-0.10171144349020833
Daily average_sentiment RMSE,0.11578947891415105,0.02936007680341758,-0.08642940211073347
