published_date,average_sentiment_manual,risk_index_manual,news_count_manual,factor_count_manual,delta_from_previous_manual,average_sentiment_pred,risk_index_pred,news_count_pred,factor_count_pred,delta_from_previous_pred
2025-01-02,-0.027777777777777776,0.029055690072639227,1,36,0.0,0.013888888888888888,0.0,1,36,0.0
2025-01-03,0.0,0.025423728813559324,2,36,0.027777777777777776,0.0,0.0,2,36,-0.013888888888888888
2025-01-06,0.0,0.0,1,36,0.0,0.0,0.0,1,36,0.0
2025-01-08,-0.027777777777777776,0.025423728813559324,1,36,-0.027777777777777776,0.0,0.0,1,36,0.0
2025-01-09,-0.05555555555555555,0.06174334140435835,2,36,-0.027777777777777776,-0.027777777777777776,0.029055690072639227,2,36,-0.027777777777777776
2025-01-10,-0.05555555555555555,0.06174334140435835,2,36,0.0,0.0,0.0,2,36,0.027777777777777776
2025-01-11,-0.027777777777777776,0.029055690072639227,3,36,0.027777777777777776,0.0,0.0,3,36,0.0
2025-01-13,0.0,0.0,1,36,0.027777777777777776,0.0,0.0,1,36,0.0
2025-01-14,-0.05555555555555555,0.054479418886198554,4,36,-0.05555555555555555,-0.06944444444444445,0.06900726392251817,4,36,-0.06944444444444445
2025-01-15,-0.027777777777777776,0.05326876513317192,4,36,0.027777777777777776,-0.027777777777777776,0.02784503631961259,4,36,0.04166666666666667
2025-01-16,-0.013888888888888888,0.025423728813559324,3,36,0.013888888888888888,0.013888888888888888,0.013922518159806295,3,36,0.041666666666666664
2025-01-17,0.027777777777777776,0.0,4,36,0.041666666666666664,0.013888888888888888,0.0,4,36,0.0
2025-01-20,-0.05555555555555555,0.054479418886198554,3,36,-0.08333333333333333,-0.013888888888888888,0.014527845036319613,3,36,-0.027777777777777776
2025-01-21,0.0,0.029055690072639227,6,36,0.05555555555555555,0.013888888888888888,0.0,6,36,0.027777777777777776
2025-01-22,0.0,0.029055690072639227,2,36,0.0,0.0,0.0,2,36,-0.013888888888888888
2025-01-23,0.027777777777777776,0.0,2,36,0.027777777777777776,0.0,0.0,2,36,0.0
2025-01-24,0.0,0.029055690072639227,4,36,-0.027777777777777776,-0.013888888888888888,0.014527845036319613,4,36,-0.013888888888888888
2025-01-25,0.0,0.0,1,36,0.0,0.0,0.0,1,36,0.013888888888888888
2025-01-26,-0.027777777777777776,0.029055690072639227,1,36,-0.027777777777777776,-0.027777777777777776,0.02784503631961259,1,36,-0.027777777777777776
2025-01-27,-0.08333333333333333,0.08837772397094432,4,36,-0.05555555555555555,-0.013888888888888888,0.029055690072639227,4,36,0.013888888888888888
2025-01-28,0.0,0.05811138014527846,6,36,0.08333333333333333,0.07407407407407407,0.0,6,36,0.08796296296296297
2025-01-29,0.05555555555555555,0.0,4,36,0.05555555555555555,0.013888888888888888,0.0,4,36,-0.06018518518518518
2025-01-30,0.05555555555555555,0.0,2,36,0.0,-0.013888888888888888,0.014527845036319613,2,36,-0.027777777777777776
2025-01-31,0.027777777777777776,0.0,1,36,-0.027777777777777776,0.027777777777777776,0.0,1,36,0.041666666666666664
2025-02-02,-0.027777777777777776,0.029055690072639227,2,36,-0.05555555555555555,0.0,0.0,2,36,-0.027777777777777776
2025-02-03,0.0,0.0,1,36,0.027777777777777776,0.0,0.0,1,36,0.0
2025-02-04,-0.05555555555555555,0.05932203389830509,2,36,-0.05555555555555555,0.0,0.0,2,36,0.0
2025-02-05,0.0,0.029055690072639227,4,36,0.05555555555555555,0.027777777777777776,0.0,4,36,0.027777777777777776
2025-02-06,0.027777777777777776,0.0,4,36,0.027777777777777776,0.009259259259259259,0.0,4,36,-0.018518518518518517
2025-02-07,-0.027777777777777776,0.025423728813559324,2,36,-0.05555555555555555,0.0,0.0,2,36,-0.009259259259259259
2025-02-08,-0.027777777777777776,0.025423728813559324,1,36,0.0,-0.013888888888888888,0.014527845036319613,1,36,-0.013888888888888888
2025-02-09,-0.027777777777777776,0.025423728813559324,2,36,0.0,0.0,0.0,2,36,0.013888888888888888
2025-02-10,0.08333333333333333,0.0,4,36,0.1111111111111111,0.0,0.0,4,36,0.0
2025-02-11,0.027777777777777776,0.0,2,36,-0.05555555555555555,0.013888888888888888,0.0,2,36,0.013888888888888888
2025-02-12,0.0,0.05690072639225181,5,36,-0.027777777777777776,0.027777777777777776,0.0,5,36,0.013888888888888888
2025-02-13,0.0,0.0,1,36,0.0,0.0,0.0,1,36,-0.027777777777777776
2025-02-14,0.027777777777777776,0.0,4,36,0.027777777777777776,0.0,0.0,4,36,0.0
2025-02-17,-0.05555555555555555,0.05084745762711865,3,36,-0.08333333333333333,0.0,0.0,3,36,0.0
2025-02-18,0.0,0.02784503631961259,4,36,0.05555555555555555,-0.013888888888888888,0.014527845036319613,4,36,-0.013888888888888888
2025-02-19,-0.05555555555555555,0.054479418886198554,3,36,-0.05555555555555555,-0.013888888888888888,0.012711864406779662,3,36,0.0
2025-02-20,0.027777777777777776,0.0,1,36,0.08333333333333333,0.027777777777777776,0.0,1,36,0.041666666666666664
2025-02-21,0.027777777777777776,0.0,2,36,0.0,0.0,0.0,2,36,-0.027777777777777776
2025-02-23,-0.027777777777777776,0.029055690072639227,2,36,-0.05555555555555555,0.0,0.0,2,36,0.0
2025-02-24,0.0,0.025423728813559324,6,36,0.027777777777777776,0.0,0.0,6,36,0.0
2025-02-25,0.027777777777777776,0.0,1,36,0.027777777777777776,0.013888888888888888,0.0,1,36,0.013888888888888888
2025-02-26,0.027777777777777776,0.0,4,36,0.0,0.027777777777777776,0.0,4,36,0.013888888888888888
2025-02-27,0.08333333333333333,0.0,4,36,0.05555555555555555,0.027777777777777776,0.0,4,36,0.0
2025-02-28,0.027777777777777776,0.0,2,36,-0.05555555555555555,0.0,0.0,2,36,-0.027777777777777776
2025-03-04,0.05555555555555555,0.0,4,36,0.027777777777777776,0.013888888888888888,0.0,4,36,0.013888888888888888
