k,label_recall_at_k_on_relevant_news,news_hit_any_at_k_on_relevant_news,precision_at_k_all_news
1,0.47356321839080456,0.5572413793103448,0.404
2,0.4859770114942529,0.5710344827586207,0.208
3,0.4891954022988505,0.5737931034482758,0.1403333333333333
5,0.4898850574712643,0.5737931034482758,0.08439999999999999
10,0.5255172413793103,0.6137931034482759,0.046099999999999995
15,0.8804597701149425,0.9296551724137931,0.052066666666666664
