config,true_positive_factor_pairs,accuracy,macro_f1,weighted_f1
social_v5_gemma4_e4b@0.60,324,0.5771604938271605,0.5018427258704831,0.5185668889806964
social_v5_gemma4_e4b@default,361,0.5678670360110804,0.49524626666771293,0.5220692415682542
social_v5_e2b@default,172,0.5174418604651163,0.47252917672022865,0.5149384004181009
social_v5_qwen35_9b@default,426,0.5492957746478874,0.46994763096784853,0.5048417050478626
social_v5_qwen35_9b@0.40,325,0.5815384615384616,0.4637543133195307,0.5081600254817648
