label_scope,config,n_news,gold_positive_pairs,gold_mean_labels,gold_empty_news,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,source,threshold
all,full_production_v1@default_is_relevant,739,2010,2.719891745602165,33,238,0.32205683355886333,0.6596638655462185,0.0781094527363184,0.1396797153024911,0.08859429691245738,0.14674270249371738,0.9826086956521739,0.32011331444759206,0.4829059829059829,4,480,full_production_v1,default
all,full_production_v1@0.05,739,2010,2.719891745602165,33,391,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,9,342,full_production_v1,0.05
all,full_production_v1@0.10,739,2010,2.719891745602165,33,391,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,9,342,full_production_v1,0.1
all,full_production_v1@0.15,739,2010,2.719891745602165,33,391,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,9,342,full_production_v1,0.15
all,full_production_v1@0.20,739,2010,2.719891745602165,33,391,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,9,342,full_production_v1,0.2
all,full_production_v1@0.25,739,2010,2.719891745602165,33,391,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,9,342,full_production_v1,0.25
all,full_production_v1@0.30,739,2010,2.719891745602165,33,391,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,9,342,full_production_v1,0.3
all,full_production_v1@0.35,739,2010,2.719891745602165,33,225,0.3044654939106901,0.7022222222222222,0.07860696517412935,0.1413870246085011,0.08945635444912775,0.15116416435766908,0.9954337899543378,0.3087818696883853,0.47135135135135137,1,488,full_production_v1,0.35
all,full_production_v1@0.40,739,2010,2.719891745602165,33,225,0.3044654939106901,0.7022222222222222,0.07860696517412935,0.1413870246085011,0.08945635444912775,0.15116416435766908,0.9954337899543378,0.3087818696883853,0.47135135135135137,1,488,full_production_v1,0.4
all,full_production_v1@0.45,739,2010,2.719891745602165,33,225,0.3044654939106901,0.7022222222222222,0.07860696517412935,0.1413870246085011,0.08945635444912775,0.15116416435766908,0.9954337899543378,0.3087818696883853,0.47135135135135137,1,488,full_production_v1,0.45
all,full_production_v1@0.50,739,2010,2.719891745602165,33,225,0.3044654939106901,0.7022222222222222,0.07860696517412935,0.1413870246085011,0.08945635444912775,0.15116416435766908,0.9954337899543378,0.3087818696883853,0.47135135135135137,1,488,full_production_v1,0.5
all,full_production_v1@0.55,739,2010,2.719891745602165,33,225,0.3044654939106901,0.7022222222222222,0.07860696517412935,0.1413870246085011,0.08945635444912775,0.15116416435766908,0.9954337899543378,0.3087818696883853,0.47135135135135137,1,488,full_production_v1,0.55
all,full_production_v1@0.60,739,2010,2.719891745602165,33,225,0.3044654939106901,0.7022222222222222,0.07860696517412935,0.1413870246085011,0.08945635444912775,0.15116416435766908,0.9954337899543378,0.3087818696883853,0.47135135135135137,1,488,full_production_v1,0.6
all,full_production_v1@0.70,739,2010,2.719891745602165,33,5,0.006765899864682003,0.8,0.001990049751243781,0.003970223325062035,0.000896235664827437,0.04894000902119982,1.0,0.007082152974504249,0.014064697609001406,0,701,full_production_v1,0.7
all,full_production_v1@0.80,739,2010,2.719891745602165,33,5,0.006765899864682003,0.8,0.001990049751243781,0.003970223325062035,0.000896235664827437,0.04894000902119982,1.0,0.007082152974504249,0.014064697609001406,0,701,full_production_v1,0.8
all,full_production_v1@0.90,739,2010,2.719891745602165,33,5,0.006765899864682003,0.8,0.001990049751243781,0.003970223325062035,0.000896235664827437,0.04894000902119982,1.0,0.007082152974504249,0.014064697609001406,0,701,full_production_v1,0.9
all,full_balanced_recall_v2@default_is_relevant,739,2010,2.719891745602165,33,376,0.5087956698240866,0.7925531914893617,0.1482587064676617,0.24979044425817268,0.1411892537836359,0.24458405825117593,0.9888888888888889,0.5042492917847026,0.6679174484052532,4,350,full_balanced_recall_v2,default
all,full_balanced_recall_v2@0.05,739,2010,2.719891745602165,33,589,0.79702300405954,0.7436332767402377,0.21791044776119403,0.3370527125817622,0.16077068338608297,0.34161672788195113,0.9806338028169014,0.7889518413597734,0.8744113029827315,11,149,full_balanced_recall_v2,0.05
all,full_balanced_recall_v2@0.10,739,2010,2.719891745602165,33,589,0.79702300405954,0.7436332767402377,0.21791044776119403,0.3370527125817622,0.16077068338608297,0.34161672788195113,0.9806338028169014,0.7889518413597734,0.8744113029827315,11,149,full_balanced_recall_v2,0.1
all,full_balanced_recall_v2@0.15,739,2010,2.719891745602165,33,588,0.7956698240866035,0.7448979591836735,0.21791044776119403,0.3371824480369515,0.16080131130320535,0.34161672788195113,0.9805996472663139,0.7875354107648725,0.8735271013354281,11,150,full_balanced_recall_v2,0.15
all,full_balanced_recall_v2@0.20,739,2010,2.719891745602165,33,588,0.7956698240866035,0.7448979591836735,0.21791044776119403,0.3371824480369515,0.16080131130320535,0.34161672788195113,0.9805996472663139,0.7875354107648725,0.8735271013354281,11,150,full_balanced_recall_v2,0.2
all,full_balanced_recall_v2@0.25,739,2010,2.719891745602165,33,588,0.7956698240866035,0.7448979591836735,0.21791044776119403,0.3371824480369515,0.16080131130320535,0.34161672788195113,0.9805996472663139,0.7875354107648725,0.8735271013354281,11,150,full_balanced_recall_v2,0.25
all,full_balanced_recall_v2@0.30,739,2010,2.719891745602165,33,588,0.7956698240866035,0.7448979591836735,0.21791044776119403,0.3371824480369515,0.16080131130320535,0.34161672788195113,0.9805996472663139,0.7875354107648725,0.8735271013354281,11,150,full_balanced_recall_v2,0.3
